1510.209824;2.15E-09
1512.986854;2.24E-09
1515.578625;2.32E-09
1517.708133;2.43E-09
1519.837837;2.56E-09
1521.874813;2.67E-09
1523.727515;2.85E-09
1525.857417;3.00E-09
1527.894788;3.14E-09
1530.024493;3.27E-09
1532.062258;3.45E-09
1533.729009;3.55E-09
1535.026621;3.74E-09
1536.508112;3.82E-09
1537.156523;3.88E-09
1538.267592;3.94E-09
1539.839838;3.88E-09
1540.670452;3.69E-09
1541.501065;3.50E-09
1542.054479;3.35E-09
1542.515065;3.17E-09
1543.06838;3.01E-09
1543.528768;2.81E-09
1543.989256;2.62E-09
1544.357113;2.43E-09
1544.910132;2.24E-09
1545.370817;2.07E-09
1545.923836;1.88E-09
1546.47715;1.72E-09
1547.308553;1.60E-09
1548.419129;1.62E-09
1549.346121;1.76E-09
1549.880298;7.95E-09
1550.550412;1.88E-09
1551.844669;1.78E-09
1553.142281;1.97E-09
1554.070753;2.24E-09
1554.536271;2.49E-09
1554.909061;2.72E-09
1555.467703;3.02E-09
1555.933517;3.29E-09
1556.399825;3.60E-09
1557.051393;3.94E-09
1557.795393;4.26E-09
1558.631827;4.58E-09
1559.467274;4.81E-09
1560.764491;4.96E-09
1561.968486;5.06E-09
1563.356656;5.07E-09
1565.114657;5.06E-09
1566.779238;4.98E-09
1568.628783;4.89E-09
1570.385501;4.77E-09
1571.494794;4.67E-09
1573.158783;4.54E-09
1574.73034;4.41E-09
1576.301698;4.26E-09
1578.150849;4.14E-09
1579.445304;4.05E-09
1581.480603;4.02E-09
1583.515507;3.95E-09
1585.272817;3.88E-09
1587.122165;3.77E-09
1588.787239;3.73E-09
1591.192566;3.69E-09
1593.598682;3.71E-09
1596.282984;3.79E-09
1598.689395;3.84E-09
1601.004064;3.96E-09
1603.319029;4.11E-09
1605.818564;4.21E-09
1607.947973;4.31E-09
1609.799886;4.42E-09
1611.837257;4.57E-09
1613.689268;4.69E-09
1615.819269;4.84E-09
1617.578848;4.97E-09
1619.430761;5.08E-09
1621.282378;5.16E-09
1623.134882;5.33E-09
1624.616571;5.43E-09
1626.190988;5.55E-09
1628.227273;5.60E-09
1630.171323;5.68E-09
1632.115669;5.78E-09
1634.244979;5.87E-09
1636.096497;5.95E-09
1638.04104;6.07E-09
1639.337665;6.17E-09
1640.911589;6.25E-09
1643.224877;6.25E-09
1644.704592;6.18E-09
1646.554039;6.08E-09
1648.310856;5.97E-09
1649.513174;5.92E-09
